start_time,cell_count,Unique_ID,date,temperature,P.treatment,replicate,unique_number,start.time,time_since_innoc,time_since_innoc_days,time_since_innoc_hours
2016-07-04T14:29:18Z,3803.0,31,JULY4,8,FULL,1,1.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-04 14:29:18 UTC,4.009432870370371,96.22638888888889
2016-07-06T13:30:09Z,5784.0,31,R2,8,FULL,1,1.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-06 13:30:09 UTC,5.968356481481481,143.24055555555555
2016-07-06T13:31:30Z,7991.0,32,lst,8,FULL,2,2.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-06 13:31:30 UTC,5.969293981481481,143.26305555555555
2016-07-01T17:08:44Z,4717.0,32,JULY1,8,FULL,2,2.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-01 17:08:44 UTC,1.120150462962963,26.88361111111111
2016-07-02T11:08:36Z,3722.0,32,JULY2,8,FULL,2,2.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-02 11:08:36 UTC,1.8700578703703703,44.881388888888885
2016-07-03T15:33:19Z,3778.0,32,JULY3,8,FULL,2,2.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-03 15:33:19 UTC,3.053888888888889,73.29333333333334
2016-07-04T14:30:52Z,3814.0,32,JULY4,8,FULL,2,2.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-04 14:30:52 UTC,4.0105208333333335,96.2525
2016-07-05T17:03:51Z,4082.0,32,JULY5,8,FULL,2,2.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-05 17:03:51 UTC,5.1167592592592595,122.80222222222223
2016-06-30T14:46:35Z,4465.0,32,JUNE30,8,FULL,2,2.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-06-30 14:46:35 UTC,0.021435185185185186,0.5144444444444445
2016-07-06T13:32:43Z,4682.0,33,lst,8,FULL,3,3.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-06 13:32:43 UTC,5.970138888888889,143.28333333333333
2016-07-02T11:10:06Z,4164.0,33,JULY2,8,FULL,3,3.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-02 11:10:06 UTC,1.8710995370370371,44.90638888888889
2016-07-03T15:34:41Z,3816.0,33,JULY3,8,FULL,3,3.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-03 15:34:41 UTC,3.054837962962963,73.31611111111111
